id,name,identity,intelligence,strength,speed,durability,power,combat,creator,universe,full_name,place_of_birth,first_appearance,alignment,height,weight,eye_color,hair_color
Lev Haiba,Lev Haiba,,Low,0,0,0,0,0,Shueisha,Haikyu!! - Haikyuu!!,,,,Good,196.0,80.0,Green,Grey
Leveque,Leveque,,Average,1,6,10,0,70,,Ghosted - Ghosted,,,2023,Bad,,,Brown,Brown
Levi Ackerman,Levi Ackerman,Levi Ackerman,Good,20,25,20,25,100,Kodansha,AOT - Attack on Titan,"Levi Ackerman (???????????, Rivai Akk?man)",Subway City,,Good,160.0,65.0,Grey,Black
Leviamon,Leviamon,Pichimon,High,100,100,100,100,90,Shueisha,Digimon - Digimon,,Digital World,,,,,,
Leviathan,Leviathan,,Average,35,25,30,45,30,Marvel Comics,MCU - Marvel Cinematic Universe,,,2012,Bad,,,,
Leviathan-1,Leviathan,,Average,100,50,65,95,50,Square Enix,FF I - Final Fantasy I,,,,,,,,
Leviathan-2,Leviathan,SCP-169,Average,75,100,45,40,20,SCP Foundation,SCP - SCP Foundation,,,,,,,,
Levistus,Levistus,Levistus,High,100,100,100,100,95,Hasbro,DAD - Dungeons and Dragons,,,,Bad,180.0,,Red,Brown / Black
Leviticus Cornwall,Leviticus Cornwall,,Good,1,5,6,20,10,Rockstar Games,RDR - Red Dead Redemption,,,,,,,,
Levy McGarden,Levy McGarden,Levy McGarden,Good,1,50,30,65,15,Kodansha,Fairy Tail - Fairy Tail,,,,Good,,,Brown,Blue
Lex,Lex,Alexis Murphy,Average,1,6,5,0,5,Universal Studios,Jurassic Park - Jurassic Park,,,1993,,,,Hazel,Blond
Lex-1,Lex,Alexa Woods,Good,1,1,6,7,30,Dark Horse Comics,Alien - Alien,,,2004,Good,170.2,,Brown,Black
Lex-2,Lex,,Average,1,17,11,15,60,Hi-Rez Studios,PAU - Paladins Universe,,,,Good,,,Blue,
Lex Luthor,Lex Luthor,Alexander Luthor,Low,0,0,0,0,0,DC Comics,Injustice - Injustice (2013-2017 Games and Comics),Alexander Lex Luthor,Metropolis,,Bad,208.3,269.9,Green,No Hair
Lex Luthor-1,Lex Luthor,Lex Luthor,High,5,7,10,10,70,DC Comics,Smallville - Smallville (2001-2011 TV Series),Alexander Luthor,,,Bad,,,Brown,
Lex Luthor-2,Lex Luthor,Alexander Luthor,High,6,6,8,20,10,DC Comics,Arrowverse - DC Television Universe,,,,Bad,,,Brown,
Lex Luthor-3,Lex Luthor,Alexander Joseph Luthor,Good,1,1,5,1,15,DC Comics,DCEU - DC Extended Universe,"Alexander Joseph Luthor, Jr.",Metropolis,,Bad,170.2,71.7,Green,Red
Lex Luthor-4,Lex Luthor,Alexander Luthor,High,50,100,75,25,60,DC Comics,Prime Earth - New 52,Alexander Joseph Luthor,"Smallville, Kansas",,Bad,188.0,95.3,Green,No Hair
Lex Luthor-5,Lex Luthor,Alexander Luthor,High,100,25,30,30,50,DC Comics,DCAU - DC Animated Universe,,,,,,,,
Lex Luthor-6,Lex Luthor,Lex Luthor,High,100,100,85,90,70,DC Comics,New Earth - Post-Crisis,Alexander 'Lex' Joseph Luthor,"Smallville, Kansas",,Bad,188.0,95.3,Green,No Hair
Lex Luthor-7,Lex Luthor,,High,1,5,5,20,30,DC Comics,Lego Earth-1 - Lego DC Universe,Alexander Joseph Luthor,,,Bad,,,Black,No Hair
Lex Luthor-8,Lex Luthor,Lex Luthor,High,1,5,5,10,15,DC Comics,Earth 96 - DC Superhero Girls (2019- Tv Show),,,,Bad,,,Grey,No Hair
Lex Luthor-9,Lex Luthor,Alexander Luthor,Low,0,0,0,0,0,DC Comics,Donnerverse - Superman (1978-1987 Movies),"Alexander Joseph ""Lex"" Luthor",,1978,Bad,,,Blue,No Hair
Lex Luthor-10,Lex Luthor,Lex Luthor,Low,0,0,0,0,0,DC Comics,DCUAOM - DC Universe Animated Original Movies,Alexander Luthor,Metropolis,,Bad,180.3,90.0,Green,No Hair
Lex Luthor-11,Lex Luthor,"Alexis ""Lex"" Luthor",Low,0,0,0,0,0,DC Comics,Pre-Crisis - Pre Crisis on Infinite Earths,,Metropolis,1948,Bad,180.3,90.72,Brown,No Hair
Lex Luthor-12,Lex Luthor,Lex Luthor,High,1,1,5,5,12,DC Comics,HQAU - Harley Quinn Animated Series,,,,,,,,
Lex Luthor (Fused with the Zone Child),Lex Luthor (Fused with the Zone Child),Alexander Luthor,High,100,100,100,100,70,DC Comics,,,,,Bad,,,,
Lex Luthor (God Of Apokolips),Lex Luthor (God Of Apokolips),Alexander Luthor,High,100,100,100,100,70,DC Comics,New Earth - Post-Crisis,,,,Bad,,,Red,No Hair
Lex Luthor (Pseudo-Superman),Lex Luthor (Pseudo-Superman),Alexander Luthor,High,100,100,50,70,100,DC Comics,New Earth - Post-Crisis,,,,,,,,
Lexi Branson,Lexi Branson,,Good,25,50,25,65,45,The CW,VD - Vampire Diaries,,,,Good,173.0,,Green,Blond
Li,Li,Li,Average,1,1,5,20,40,Marvel Comics,MCU - Marvel Cinematic Universe,,,,Bad,,,,Black
Li Mei,Li Mei,,Good,1,25,15,35,100,Mortal Kombat,MK - Mortal Kombat,,,,Good,,,,Black
Li Qiye,Li Qiye,Li Qiye,High,100,100,100,100,100,,ED - Emperor's Domination,,china,,,,,Brown,Black
Liam Dunbar,Liam Dunbar,Liam Dunbar,Average,25,20,10,50,45,,Teen Wolf - Teen Wolf Universe,,,,Good,,,Blue,Brown
Lian,Lian,,Good,25,30,30,40,70,,Hero Wars Verse - Hero Wars Verse,,,,Good,,,Purple,Purple
Liber Legis,Liber Legis,,High,100,100,100,100,100,,Demonbane - Demonbane,,,,Bad,,3340.0,,
Liberty Belle,Liberty Belle,Libby Lawrence,Low,0,0,0,0,0,DC Comics,New Earth - Post-Crisis,Libby Lawrence,,,Good,5.0,140.0,Blue,Blond
Libra Of The Scales,Libra Of The Scales,Libra Of The Scales,Good,90,75,55,90,75,,AWLBA - A Wild Last Boss Appeared,,,,Good,163.0,,Yellow,Gold
Libre Pikachu,Libre Pikachu,Pichu,Average,50,30,30,30,50,Nintendo,Pokemon - Pokemon,,,,Neutral,,,,
Liebe (Devil Pact),Liebe (Devil Pact),Liebe,Average,25,40,50,90,60,Shueisha,BC - Black Clover,Liebe,The Underworld,,Good,156.0,,Red,White
Liege Maximo,Liege Maximo,Liege Maximo,High,100,100,100,100,100,Hasbro,,,,,,,,,
Liesa,Liesa,Liesa,Good,50,30,50,80,60,Hasbro,MtG - Magic: the Gathering,,Innistrad,2020,Neutral,,,,Black
Lieselotte Werckmeister,Lieselotte Werckmeister,,Good,75,50,30,100,95,,11eyes - 11eyes,,,,Bad,,,Green,Silver
Lieutenant Gorman,Lieutenant Gorman,Scott Gorman,Good,1,1,5,8,25,Dark Horse Comics,Alien - Alien,,,,Neutral,176.5,,Blue,Brown
Lieutenant Hawkeye,Lieutenant Hawkeye,Riza Hawkeye,Average,1,14,8,20,25,Square Enix,FMA - Fullmetal Alchemist Verse,,,,Good,,,Brown,Blond
Life,Life,Life,High,100,85,55,100,65,,IAP - Isekai at Peace,,7th Day of the Heaven Month,,Good,160.0,,,Green
Life-1,Life,,High,100,100,100,100,100,Marvel Comics,Earth-616 - Prime Marvel Universe,,,,Good,,,Brown,Black
Life Entity,Life Entity,The Life Entity,High,100,100,100,100,50,DC Comics,New Earth - Post-Crisis,,,,Good,,,,No Hair
Lifebringer One,Lifebringer One,,High,100,100,100,100,100,Marvel Comics,Earth-616 - Prime Marvel Universe,,,,Good,,,Yellow,
Lifeline,Lifeline,Edwin Steen,Good,1,8,5,20,60,IDW Publishing,G.I. Joe - G.I. Joe,Edwin Steen,,,Good,,,Brown,Brown
Lifeline-1,Lifeline,Ajay Che,Good,1,6,20,20,60,,Apex - Apex legends,,,,Good,,,Brown,Red / Orange
Light Fury,Light Fury,,Average,25,35,20,45,25,Dreamworks,HTTYD - How to Train Your Dragon,,,,Good,,,Blue,No Hair
Lightning,Lightning,Jennifer Pierce,Good,6,11,15,45,60,,Arrowverse - DC Television Universe,,,,Good,,,Brown,Black
Lightning-1,Lightning,,Good,100,100,100,100,100,Square Enix,FFXIII - Final Fantasy XIII,,,,,171.0,,Blue,Pink
Lightning-2,Lightning,,Average,1,6,20,40,60,Shueisha,Yu-Gi-Oh! - Yu-Gi-Oh!,,,,Good,,,Yellow,No Hair
Lightning Lad,Lightning Lad,Garth Ranzz,Average,5,10,10,55,45,DC Comics,New Earth - Post-Crisis,Garth Ranzz,,,Good,154.9,65.8,Blue,Red
Lightning Lass,Lightning Lass,Ayla Ranzz,Low,0,0,0,0,0,DC Comics,New Earth - Post-Crisis,Ayla Ranzz,,,Good,165.1,54.4,Blue,Red
Lightning Lord,Lightning Lord,Mekt Ranzz,Low,0,0,0,0,0,DC Comics,New Earth - Post-Crisis,Mekt Ranzz,,2007,Bad,190.5,95.3,Blue,Red
Lightning Max,Lightning Max,Max,Average,5,25,15,25,40,Shueisha,OPM - One Punch Man,,,,Good,178.0,60.0,Blue,Blond
Lightning McQueen,Lightning McQueen,Lightning McQueen,Average,1,25,10,20,45,Disney,Cars - Cars franchise (2006-2017),,,,Good,,,Blue,No Hair
Lightning Rod,Lightning Rod,,Good,50,80,100,60,70,Activision Blizzard,Skylanders - Skylanders,,The Cloud Kingdom,,,,,Green / Blue,Brown
Lightray,Lightray,Solis,High,75,100,85,100,70,DC Comics,New Earth - Post-Crisis,,New Genesis,,Good,182.9,82.1,Blue,Strawberry Blond
Lightspeed,Lightspeed,Julie Power,Average,5,50,35,55,40,Marvel Comics,Earth-616 - Prime Marvel Universe,,"Richmond, Virginia",,Good,162.6,49.9,Blue,Blond
Lightspeed-1,Lightspeed,Linda Park,Good,25,100,70,100,65,DC Comics,Earth-32 - In Darkest Knight,,,,Good,,,Brown,Black
Lihito,Lihito,,Average,13,20,15,20,75,Shogakukan,Kenganverse - Kengan Ashura,,Japan,,Good,188.0,102.0,Brown,Blond
Liho (Natasha Romanoffs Cat),Liho (Natasha Romanoffs Cat),Liho Romanoff,Moderate,1,7,1,1,9,Marvel Comics,Earth-616 - Prime Marvel Universe,,,,,,,Hazel,Black
Lil Amy,Lil Amy,Amy,Average,1,6,1,30,0,,SB - Space Boy Universe,,,,,,,,
Lila Cheney,Lila Cheney,,Average,1,6,5,30,20,Marvel Comics,Earth-616 - Prime Marvel Universe,,England,1984,Good,173.0,54.0,Blue,Black
Lila Pitts,Lila Pitts,Lila Pitts,High,20,1,15,60,100,Netflix,Umbrella Academy - Umbrella academy,,,,Neutral,,,,
Lila Pitts (Mimicking the Umbrella Academy),Lila Pitts (Mimicking the Umbrella Academy),Lila Pitts,Good,10,50,15,80,100,Netflix,Umbrella Academy - Umbrella academy,Lila Pitts,,,Neutral,,,,
Lila Pitts (Mimicking Victor),Lila Pitts (Mimicking Victor),Lila Pitts,High,20,1,15,80,100,Netflix,Umbrella Academy - Umbrella academy,Lila Pitts,,,,,,,
Lilah Morgan,Lilah Morgan,,Good,1,1,5,8,15,Dark Horse Comics,Buffy - Buffy the Vampire Slayer,,,,,,,Blue,Brown
Lileath,Lileath,,High,100,100,100,100,100,Games Workshop,Warhammer 40K - W40K,,,,,,,,
Lilia Albert,Lilia Albert,White Rose Valkyrie,High,100,85,50,80,90,,IAP - Isekai at Peace,Lilianne Lia Symphonia,"7th Day, Wind Month",,Good,,,Blue,Gold
Lilia Vanrouge,Lilia Vanrouge,,Good,1,6,10,30,80,Disney,Twl - Disney: Twisted-Wonderland,,,,,,,Violet,Black
Liliana Vess (Post-Mending),Liliana Vess (Post-Mending),Liliana Vess,Good,1,6,30,75,25,Hasbro,MtG - Magic: the Gathering,,"Caligo Forest, Dominaria",2007,Good,,,Purple,Black
Lilith,Lilith,Lilith,Good,25,15,25,65,25,,Archieverse,,,,,,,,
Lilith-1,Lilith,,Good,1,1,30,60,30,,Hellaverse - Hazbin Hotel and Helluva Boss Universe,,Earth,,Neutral,198.1,,White,Blond
Lilith-2,Lilith,,High,100,100,100,100,100,,Ytbthnt - Yami To Boushi To Hon No Tabibito,,,,,,,,
Lilith-3,Lilith,,High,100,100,100,100,100,Atlus,SMT - Shin Megami Tensei,,,,Bad,,,Yellow,Purple
Lilith-4,Lilith,,Good,25,50,35,60,50,The CW,Supernatural - Supernatural Series Universe,,Hell,,Bad,,,White,
Lilith-5,Lilith,,High,100,100,100,100,100,,Doctor Who - Doctor Who,,,,,,,,
Lilith-6,Lilith,Lilith,High,100,100,100,100,100,,WOD - World of Darkness,,,,,,,,
